iter	Passed	Remaining
0	39	7911
1	77	7708
2	117	7693
3	156	7687
4	195	7615
5	232	7518
6	267	7380
7	304	7311
8	337	7169
9	376	7149
10	409	7028
11	440	6899
12	472	6801
13	504	6704
14	535	6603
15	567	6525
16	599	6456
17	630	6377
18	661	6305
19	693	6242
20	724	6175
21	754	6107
22	786	6048
23	816	5984
24	845	5919
25	876	5865
26	907	5817
27	938	5768
28	969	5717
29	1002	5678
30	1033	5635
31	1065	5594
32	1095	5545
33	1126	5498
34	1157	5457
35	1191	5426
36	1225	5397
37	1259	5369
38	1293	5340
39	1326	5306
40	1357	5262
41	1387	5220
42	1418	5180
43	1449	5137
44	1480	5100
45	1512	5065
46	1542	5021
47	1573	4982
48	1604	4944
49	1638	4914
50	1670	4879
51	1700	4840
52	1731	4802
53	1761	4762
54	1792	4725
55	1822	4687
56	1852	4648
57	1883	4612
58	1914	4576
59	1946	4540
60	1978	4507
61	2009	4473
62	2040	4436
63	2070	4400
64	2101	4365
65	2131	4328
66	2162	4291
67	2192	4255
68	2223	4221
69	2255	4189
70	2285	4153
71	2316	4117
72	2346	4082
73	2378	4049
74	2408	4013
75	2438	3979
76	2469	3945
77	2499	3910
78	2531	3877
79	2562	3844
80	2594	3812
81	2627	3780
82	2657	3746
83	2689	3713
84	2721	3681
85	2752	3648
86	2784	3616
87	2815	3582
88	2844	3548
89	2876	3515
90	2907	3482
91	2939	3450
92	2970	3417
93	3000	3383
94	3030	3349
95	3061	3316
96	3093	3284
97	3124	3251
98	3156	3219
99	3186	3186
100	3217	3153
101	3248	3120
102	3278	3087
103	3308	3054
104	3339	3021
105	3369	2988
106	3399	2954
107	3431	2922
108	3461	2890
109	3491	2857
110	3523	2824
111	3553	2791
112	3584	2759
113	3615	2727
114	3645	2694
115	3675	2661
116	3705	2628
117	3735	2596
118	3766	2563
119	3796	2531
120	3827	2498
121	3857	2466
122	3888	2434
123	3920	2402
124	3951	2370
125	3981	2338
126	4012	2306
127	4042	2273
128	4072	2241
129	4102	2209
130	4135	2177
131	4165	2145
132	4195	2113
133	4227	2082
134	4258	2050
135	4288	2017
136	4318	1985
137	4348	1953
138	4378	1921
139	4409	1889
140	4438	1857
141	4469	1825
142	4499	1793
143	4529	1761
144	4561	1730
145	4591	1698
146	4623	1666
147	4653	1635
148	4684	1603
149	4715	1571
150	4745	1539
151	4776	1508
152	4808	1477
153	4839	1445
154	4870	1413
155	4902	1382
156	4932	1350
157	4963	1319
158	4993	1287
159	5023	1255
160	5054	1224
161	5084	1192
162	5115	1161
163	5145	1129
164	5176	1097
165	5206	1066
166	5236	1034
167	5268	1003
168	5299	972
169	5329	940
170	5359	908
171	5390	877
172	5421	846
173	5451	814
174	5482	783
175	5512	751
176	5543	720
177	5573	688
178	5604	657
179	5635	626
180	5666	594
181	5697	563
182	5728	532
183	5759	500
184	5789	469
185	5820	438
186	5851	406
187	5883	375
188	5913	344
189	5944	312
190	5975	281
191	6006	250
192	6036	218
193	6066	187
194	6097	156
195	6127	125
196	6157	93
197	6188	62
198	6219	31
199	6250	0
